Order_ID,Customer_ID,Customer_Name,Customer_Email,Location,Product_ID,Product_Name,Category,Price,Discount,Payment_Method,Order_Status,Purchase_Date,Shipping_Date,Quantity,Unit_Cost,Total_Sales,Cost_Price,Total_Cost,Profit,Tax,Final_Revenue,Shipping_Cost,Net_Revenue,Customer_Rating,Return_Status,Country,State,City,Emp_ID,Shipping_Delay,Shipping_Date_year,Shipping_order_month,Order_Processing_Time,Customer_Satisfaction,Purchase_Month,Order_Type
ORD1,0dd77430-da1c-4b1a-b9b0-f11b756a323b,Robert Rodriguez,daniellemiller@yahoo.com,Maloneberg,PROD1,Blender,Home & Kitchen,48.15,33.23,PayPal,Returned,2025-02-01,2025-01-18,1,32.149755,32.149755,33.705,33.705,-1.555245,1.60748775,30.54226725,23.09,7.45226725,4.2,Not Returned,Germany,Bavaria,Wheelermouth,EMP182,9.0,2025,1,-14,High,2025-02,Cheap
ORD2,9fa797bc-f7c0-4631-bca4-0775891030fd,Dale Dixon,wisehenry@gmail.com,Port Shannon,PROD2,Jeans,Clothing,781.52,45.86,PayPal,Delivered,2025-05-01,2025-02-05,4,423.114928,1692.459712,547.064,738.052,-495.796288,84.6229856,1607.836726,23.09,1584.746726,4.2,Not Returned,France,Normandy,South Zachary,EMP517,7.0,2025,2,-85,High,2025-05,Cheap
ORD4,49a6c0ef-adb6-4ee0-ac4e-ca0b658a883e,Eugene Stevens,brandisimmons@snyder-stafford.com,West Rodneyhaven,PROD4,Biography,Books,451.4,47.32,Cash on Delivery,Returned,2025-12-01,2025-02-02,3,237.79752,713.39256,315.98,947.94,-234.54744,35.669628,677.722932,23.09,654.632932,4.2,Not Returned,Germany,Hamburg,Jonesfurt,EMP900,5.0,2025,2,-302,High,2025-12,Cheap
ORD8,9220d051-80dc-44ba-a47a-f909e106c938,Priscilla Grimes,cthomas@hotmail.com,Micheleport,PROD8,Biography,Books,274.34,27.97,PayPal,Delivered,2025-12-01,2025-02-01,1,197.607102,197.607102,192.038,192.038,5.569102,9.8803551,187.7267469,23.09,164.6367469,4.2,Not Returned,Australia,Queensland,West David,EMP321,3.0,2025,2,-303,High,2025-12,Cheap
ORD9,9b9072fe-672f-41b7-9767-6cbfd118c530,Carrie Hernandez,millerashley@yahoo.com,New Brandi,PROD9,Science Textbook,Books,386.92,45.95,Cash on Delivery,Cancelled,2025-06-01,2025-01-21,2,209.13026,418.26052,270.844,541.688,-123.42748,20.913026,397.347494,23.09,374.257494,4.2,Not Returned,Australia,New South Wales,Robertbury,EMP703,5.0,2025,1,-131,High,2025-06,Cheap
ORD10,2e2b5fe4-8a91-45a7-81f7-876ab750541b,Joseph Payne,debbieblevins@chen-anderson.info,Bennettbury,PROD10,Football,Sports,571.94,34.24,Debit Card,Returned,2025-05-01,2025-02-06,5,376.107744,1880.53872,400.358,738.052,-121.25128,94.026936,1786.511784,23.09,1763.421784,4.2,Not Returned,India,Tamil Nadu,Susanfort,EMP900,1.0,2025,2,-84,High,2025-05,Cheap
ORD14,cfd56443-e333-49e3-b29d-fd1e70ec816e,Michelle Nicholson,leemelody@graves-robinson.com,Pierceville,PROD14,Self-Help,Books,583.93,9.1,PayPal,Cancelled,2025-05-01,2025-01-10,5,530.79237,2653.96185,408.751,738.052,610.20685,132.6980925,2521.263758,23.09,2498.173758,4.2,Not Returned,Canada,Quebec,Garciaburgh,EMP900,6.0,2025,1,-111,High,2025-05,Cheap
ORD17,496b7189-128c-449a-9281-874a564b3a5f,Michelle Porter,austin55@yahoo.com,West Joseph,PROD17,T-Shirt,Clothing,405.89,17.82,Cash on Delivery,Returned,2025-04-01,2025-01-18,5,333.560402,1667.80201,284.123,1420.615,247.18701,83.3901005,1584.41191,23.09,1561.32191,4.2,Not Returned,UK,England,West Haroldmouth,EMP900,5.0,2025,1,-73,High,2025-04,Expensive
ORD19,226d9b01-14ca-47a0-8fc1-15f49e87dea8,Susan Rodriguez,jenniferhubbard@yahoo.com,Justinmouth,PROD19,Football,Sports,878.43,16.89,Credit Card,Cancelled,2025-10-01,2025-01-20,3,730.063173,2190.189519,614.901,1844.703,345.486519,109.509476,2080.680043,23.09,2057.590043,4.2,Not Returned,USA,Texas,Youngstad,EMP900,4.0,2025,1,-254,High,2025-10,Expensive
ORD20,fe957fad-2da7-414a-8960-e3c83f0d4e5c,Donald Roberts,avelasquez@roberts-hood.info,West Craigberg,PROD20,Self-Help,Books,333.89,19.8,Debit Card,Pending,2025-01-01,2025-01-06,2,267.77978,535.55956,233.723,467.446,68.11356,26.777978,508.781582,23.09,485.691582,4.2,Not Returned,France,Provence-Alpes-Côte d'Azur,Morrisside,EMP900,5.0,2025,1,5,High,2025-01,Cheap
ORD24,748c8127-0d05-43e4-91aa-8cf38b8978b4,Peter Foster,tammylopez@gmail.com,South Kimberly,PROD24,Dress,Clothing,889.34,13.14,PayPal,Shipped,2025-11-01,2025-02-06,2,772.480724,1544.961448,622.538,738.052,299.885448,77.2480724,1467.713376,23.09,1444.623376,4.2,Returned,USA,Texas,North Danielberg,EMP264,8.0,2025,2,-268,High,2025-11,Cheap
ORD27,ae15a35a-511b-4ae1-a6d7-3245dce5686e,Christina Johnson,bradley42@yahoo.com,Justinville,PROD27,Science Textbook,Books,226.89,10.89,UPI,Delivered,2025-02-01,2025-01-03,5,202.181679,1010.908395,158.823,794.115,216.793395,50.54541975,960.3629753,23.09,937.2729753,4.2,Not Returned,Canada,British Columbia,Pamelafurt,EMP900,5.0,2025,1,-29,High,2025-02,Cheap
ORD31,2950d7ce-03d8-475f-8b64-f2f1c1dab93f,Mrs. Denise Johnson,warmstrong@ryan.org,East Michaeltown,PROD31,Science Textbook,Books,742.85,2.06,UPI,Pending,2025-05-01,2025-01-21,5,727.54729,3637.73645,519.995,2599.975,1037.76145,181.8868225,3455.849627,23.09,3432.759627,4.2,Not Returned,UK,Wales,Alexburgh,EMP542,6.0,2025,1,-100,High,2025-05,Expensive
ORD42,b2f701c6-562a-4abf-9fb5-485f2ba0b7af,Sandy Boyd,wilsonmichael@hotmail.com,Lake Cory,PROD42,Shampoo,Beauty,463.0,37.83,Net Banking,Cancelled,2025-12-01,2025-01-30,4,287.8471,1151.3884,324.1,1296.4,-145.0116,57.56942,1093.81898,23.09,1070.72898,4.2,Not Returned,Germany,Hamburg,South Benjamin,EMP900,5.0,2025,1,-305,High,2025-12,Expensive
ORD53,9739d4a6-e7da-4e6e-b277-3b0a264064fb,Jonathan Mullen,brian69@solomon.com,Annaport,PROD53,Air Purifier,Home & Kitchen,834.67,5.72,Debit Card,Shipped,2025-10-01,2025-01-28,5,786.926876,3934.63438,584.269,2921.345,1013.28938,196.731719,3737.902661,23.09,3714.812661,4.2,Not Returned,Canada,British Columbia,Johnsonland,EMP900,5.0,2025,1,-246,High,2025-10,Expensive
